Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane
Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube
Devon Conway,Devon Conway,Devon Conway,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Moeen Ali,Moeen Ali,Moeen Ali
Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal,Mayank Agarwal
Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook,Harry Brook
Rahul Tripathi,Aiden Markram (C),Heinrich Klaasen (WK),Rahul Tripathi,Aiden Markram (C),Heinrich Klaasen (WK),Rahul Tripathi,Aiden Markram (C),Heinrich Klaasen (WK)
Maheesh Theekshana,Ravindra Jadeja,Ravindra Jadeja,Maheesh Theekshana,Maheesh Theekshana,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Maheesh Theekshana
Tushar Deshpande,Maheesh Theekshana,Tushar Deshpande,Matheesha Pathirana,Tushar Deshpande,Maheesh Theekshana,Tushar Deshpande,Maheesh Theekshana,Tushar Deshpande
Matheesha Pathirana,Tushar Deshpande,Washington Sundar,Washington Sundar,Marco Jansen,Tushar Deshpande,Washington Sundar,Washington Sundar,Matheesha Pathirana
Mayank Markande,Washington Sundar,Mayank Markande,Marco Jansen,Mayank Markande,Marco Jansen,Marco Jansen,Marco Jansen,Marco Jansen
T Natarajan,T Natarajan,T Natarajan,Mayank Markande,T Natarajan,Mayank Markande,T Natarajan,T Natarajan,Mayank Markande
