Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway
Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad
Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Shivam Dube,Shivam Dube,Shivam Dube,Shivam Dube,Moeen Ali,Moeen Ali,Moeen Ali,Moeen Ali
Mayank Agarwal,Mayank Agarwal,Harry Brook,Harry Brook,Mayank Agarwal,Mayank Agarwal,Harry Brook,Harry Brook,Mayank Agarwal,Mayank Agarwal,Harry Brook,Harry Brook
Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C),Rahul Tripathi,Aiden Markram (C)
Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK),Heinrich Klaasen (WK)
Maheesh Theekshana,Ravindra Jadeja,Maheesh Theekshana,Maheesh Theekshana,Ravindra Jadeja,Ravindra Jadeja,Tushar Deshpande,Ravindra Jadeja,Ravindra Jadeja,Ravindra Jadeja,Tushar Deshpande,Ravindra Jadeja
Tushar Deshpande,Maheesh Theekshana,Tushar Deshpande,Tushar Deshpande,Maheesh Theekshana,Tushar Deshpande,Matheesha Pathirana,Tushar Deshpande,Tushar Deshpande,Tushar Deshpande,Matheesha Pathirana,Matheesha Pathirana
Washington Sundar,Washington Sundar,Matheesha Pathirana,Matheesha Pathirana,Tushar Deshpande,Matheesha Pathirana,Marco Jansen,Matheesha Pathirana,Washington Sundar,Matheesha Pathirana,Washington Sundar,Washington Sundar
Mayank Markande,Marco Jansen,Washington Sundar,Mayank Markande,Washington Sundar,Washington Sundar,Mayank Markande,Marco Jansen,Marco Jansen,Washington Sundar,Marco Jansen,Marco Jansen
T Natarajan,Mayank Markande,Mayank Markande,T Natarajan,T Natarajan,Mayank Markande,T Natarajan,T Natarajan,T Natarajan,Mayank Markande,T Natarajan,T Natarajan
