Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway,Devon Conway
Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad,Ruturaj Gaikwad
Ajinkya Rahane,Ajinkya Rahane,Ajinkya Rahane,Shivam Dube,Shivam Dube,Shivam Dube,Moeen Ali,Moeen Ali,Moeen Ali
Rahul Tripathi,Rahul Tripathi,Rahul Tripathi,Rahul Tripathi,Rahul Tripathi,Rahul Tripathi,Rahul Tripathi,Rahul Tripathi,Rahul Tripathi
Aiden Markram (C),Aiden Markram (C),Aiden Markram (C),Aiden Markram (C),Aiden Markram (C),Aiden Markram (C),Aiden Markram (C),Aiden Markram (C),Aiden Markram (C)
Mayank Agarwal,Harry Brook,Heinrich Klaasen (WK),Mayank Agarwal,Harry Brook,Heinrich Klaasen (WK),Mayank Agarwal,Harry Brook,Heinrich Klaasen (WK)
Ravindra Jadeja,Ravindra Jadeja,Maheesh Theekshana,Ravindra Jadeja,Ravindra Jadeja,Maheesh Theekshana,Maheesh Theekshana,Maheesh Theekshana,Tushar Deshpande
Maheesh Theekshana,Maheesh Theekshana,Matheesha Pathirana,Maheesh Theekshana,Matheesha Pathirana,Tushar Deshpande,Matheesha Pathirana,Matheesha Pathirana,Matheesha Pathirana
Tushar Deshpande,Matheesha Pathirana,Washington Sundar,Tushar Deshpande,Washington Sundar,Washington Sundar,Washington Sundar,Washington Sundar,Washington Sundar
Washington Sundar,Washington Sundar,Mayank Markande,Marco Jansen,Marco Jansen,Mayank Markande,Marco Jansen,Marco Jansen,Marco Jansen
T Natarajan,Marco Jansen,T Natarajan,Mayank Markande,T Natarajan,T Natarajan,Mayank Markande,T Natarajan,Mayank Markande
